序号,定位时间,接收时间,经度/纬度,速度(km/h),方向,定位类型,上报模式,位置
149,2022-11-19 11:06:08,2022-11-19 11:06:08,116.165867/40.164231,18km/h,正南向(方向数：187),卫星定位,拐点上传,"北京市昌平区怀昌路,鹿场桥西南283米"
150,2022-11-19 11:06:10,2022-11-19 11:06:11,116.165813/40.164124,22km/h,西南向(方向数: 211),卫星定位,拐点上传,"北京市昌平区怀昌路,鹿场桥西南294米"
151,2022-11-19 11:06:20,2022-11-19 11:06:21,116.165138/40.163458,38km/h,西南向(方向数: 216),卫星定位,定时上报,"北京市昌平区怀昌路,鹿场桥西南384米"
152,2022-11-19 11:06:30,2022-11-19 11:06:32,116.164293/40.162533,44km/h,西南向(方向数: 215),卫星定位,定时上报,"北京市昌平区怀昌路,鹿场桥西南506米"
153,2022-11-19 11:06:40,2022-11-19 11:06:40,116.163449/40.161613,46km/h,西南向(方向数: 213),卫星定位,定时上报,"北京市昌平区怀昌路,鹿场桥西南628米"
154,2022-11-19 11:06:50,2022-11-19 11:06:54,116.162587/40.160662,45km/h,西南向(方向数: 214),卫星定位,定时上报,"北京市昌平区怀昌路,鹿场桥西南755米"
155,2022-11-19 11:07:00,2022-11-19 11:07:09,116.161671/40.159676,48km/h,西南向(方向数: 214),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村东北710米"
156,2022-11-19 11:07:10,2022-11-19 11:07:11,116.160756/40.158667,47km/h,西南向(方向数: 216),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村北585米"
157,2022-11-19 11:07:20,2022-11-19 11:07:21,116.159884/40.157711,44km/h,西南向(方向数: 214),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村北472米"
158,2022-11-19 11:07:30,2022-11-19 11:07:30,116.159022/40.15676,45km/h,西南向(方向数: 214),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村北369米"
159,2022-11-19 11:07:40,2022-11-19 11:07:40,116.158116/40.155813,47km/h,西南向(方向数: 213),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村西北290米"
160,2022-11-19 11:07:50,2022-11-19 11:07:50,116.15752/40.155129,24km/h,西南向(方向数: 217),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村西北255米"
161,2022-11-19 11:08:00,2022-11-19 11:08:00,116.156898/40.154258,42km/h,西南向(方向数: 207),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村西北245米"
162,2022-11-19 11:08:10,2022-11-19 11:08:10,116.156231/40.153173,48km/h,西南向(方向数: 207),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村西286米"
163,2022-11-19 11:08:20,2022-11-19 11:08:20,116.1556/40.152102,39km/h,西南向(方向数: 205),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村西南370米"
164,2022-11-19 11:08:30,2022-11-19 11:08:30,116.155076/40.151204,33km/h,西南向(方向数: 205),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村西南457米"
165,2022-11-19 11:08:40,2022-11-19 11:08:42,116.15456/40.150356,36km/h,西南向(方向数: 205),卫星定位,定时上报,"北京市昌平区怀昌路,史家桥村西南548米"
166,2022-11-19 11:08:50,2022-11-19 11:08:59,116.154036/40.149489,37km/h,西南向(方向数: 204),卫星定位,定时上报,"北京市昌平区怀昌路,八口桥北520米"
167,2022-11-19 11:09:00,2022-11-19 11:09:01,116.153431/40.14852,40km/h,西南向(方向数: 203),卫星定位,定时上报,"北京市昌平区怀昌路,八口桥西北424米"
168,2022-11-19 11:09:10,2022-11-19 11:09:10,116.1528/40.147507,43km/h,西南向(方向数: 205),卫星定位,定时上报,"北京市昌平区怀昌路,北京竹溪花苑花园中心东北403米"
169,2022-11-19 11:09:20,2022-11-19 11:09:20,116.152169/40.146511,43km/h,西南向(方向数: 208),卫星定位,定时上报,"北京市昌平区怀昌路,八口桥西北289米"
170,2022-11-19 11:09:30,2022-11-19 11:09:30,116.151547/40.145467,41km/h,西南向(方向数: 206),卫星定位,定时上报,"北京市昌平区X016(阳八路),八口桥西北284米"
171,2022-11-19 11:09:39,2022-11-19 11:09:39,116.151164/40.144827,15km/h,西南向(方向数: 231),卫星定位,拐点上传,"北京市昌平区X016(阳八路),八口桥西308米"
172,2022-11-19 11:09:41,2022-11-19 11:09:42,116.151022/40.144796,21km/h,正西向(方向数：268),卫星定位,拐点上传,"北京市昌平区X016(阳八路),八口桥西320米"
173,2022-11-19 11:09:51,2022-11-19 11:10:02,116.149858/40.144796,41km/h,正西向(方向数：267),卫星定位,定时上报,"北京市昌平区X016(阳八路),八口桥西418米"
174,2022-11-19 11:10:01,2022-11-19 11:10:02,116.148684/40.144862,16km/h,正西向(方向数：277),卫星定位,定时上报,"北京市昌平区X016(阳八路),北京竹溪花苑花园中心西南53米"
175,2022-11-19 11:10:41,2022-11-19 11:10:41,116.148587/40.144844,16km/h,西南向(方向数: 243),卫星定位,定时上报,"北京市昌平区X016(阳八路),北京竹溪花苑花园中心西南61米"
176,2022-11-19 11:10:46,2022-11-19 11:10:47,116.148062/40.144778,35km/h,正西向(方向数：265),卫星定位,拐点上传,"北京市昌平区X016(阳八路),北京竹溪花苑花园中心西南104米"
177,2022-11-19 11:10:56,2022-11-19 11:10:56,116.146773/40.1448,30km/h,正西向(方向数：273),卫星定位,定时上报,"北京市昌平区X016(阳八路),北京市昌平区阳坊中学东南540米"
178,2022-11-19 11:11:01,2022-11-19 11:11:01,116.1464/40.1448,17km/h,正西向(方向数：252),卫星定位,拐点上传,"北京市昌平区阳坊东街,北京市昌平区阳坊中学东南509米"
179,2022-11-19 11:11:03,2022-11-19 11:11:04,116.146338/40.144729,18km/h,正南向(方向数：199),卫星定位,拐点上传,"北京市昌平区阳坊东街,北京市昌平区阳坊中学东南506米"
180,2022-11-19 11:11:08,2022-11-19 11:11:09,116.14632/40.144302,37km/h,正南向(方向数：177),卫星定位,拐点上传,"北京市昌平区阳坊东街,北京市昌平区阳坊中学东南518米"
181,2022-11-19 11:11:18,2022-11-19 11:11:18,116.146311/40.143133,51km/h,正南向(方向数：179),卫星定位,定时上报,"北京市昌平区阳坊东街,北京市昌平区阳坊中学东南574米"
182,2022-11-19 11:11:28,2022-11-19 11:11:29,116.146311/40.141742,54km/h,正南向(方向数：180),卫星定位,定时上报,"北京市昌平区阳坊东街,千峰草堂东北517米"
183,2022-11-19 11:11:38,2022-11-19 11:11:40,116.146142/40.140458,50km/h,正南向(方向数：194),卫星定位,定时上报,"北京市昌平区阳坊东街,千峰草堂东北428米"
184,2022-11-19 11:11:48,2022-11-19 11:11:49,116.145573/40.139316,46km/h,西南向(方向数: 203),卫星定位,定时上报,"北京市昌平区阳坊东街,千峰草堂东343米"
185,2022-11-19 11:11:58,2022-11-19 11:11:58,116.144978/40.138284,39km/h,西南向(方向数: 205),卫星定位,定时上报,"北京市昌平区阳坊东街,千峰草堂东南294米"
186,2022-11-19 11:12:02,2022-11-19 11:12:02,116.144844/40.137947,35km/h,正南向(方向数：174),卫星定位,拐点上传,"北京市昌平区阳坊东街,千峰草堂东南293米"
187,2022-11-19 11:12:04,2022-11-19 11:12:04,116.144933/40.1378,35km/h,东南向(方向数：134),卫星定位,拐点上传,"北京市昌平区阳坊东街,千峰草堂东南305米"
188,2022-11-19 11:12:07,2022-11-19 11:12:07,116.145236/40.137667,34km/h,西北向(方向数：111),卫星定位,拐点上传,"北京市昌平区阳坊东街,千峰草堂东南334米"
189,2022-11-19 11:12:17,2022-11-19 11:12:17,116.146453/40.137351,42km/h,西北向(方向数：108),卫星定位,定时上报,"北京市昌平区阳坊东街,千峰草堂东南443米"
190,2022-11-19 11:12:27,2022-11-19 11:12:27,116.147787/40.136942,42km/h,东南向(方向数：123),卫星定位,定时上报,"北京市昌平区阳坊东街,东贯市西北527米"
191,2022-11-19 11:12:32,2022-11-19 11:12:32,116.148293/40.136556,42km/h,东南向(方向数：148),卫星定位,拐点上传,"北京市昌平区阳坊东街,东贯市西北467米"
192,2022-11-19 11:12:37,2022-11-19 11:12:37,116.148533/40.136053,42km/h,正南向(方向数：169),卫星定位,拐点上传,"北京市昌平区阳坊东街,东贯市西北411米"
193,2022-11-19 11:12:43,2022-11-19 11:12:44,116.148507/40.135458,39km/h,正南向(方向数：194),卫星定位,拐点上传,"北京市昌平区阳坊东街,东贯市西北366米"
194,2022-11-19 11:12:53,2022-11-19 11:12:53,116.148062/40.134378,48km/h,正南向(方向数：200),卫星定位,定时上报,"北京市昌平区阳坊东街,东贯市西北335米"
195,2022-11-19 11:13:03,2022-11-19 11:13:03,116.147564/40.13324,46km/h,正南向(方向数：201),卫星定位,定时上报,"北京市昌平区阳坊东街,东贯市西354米"
196,2022-11-19 11:13:13,2022-11-19 11:13:13,116.14712/40.132164,42km/h,正南向(方向数：198),卫星定位,定时上报,"北京市昌平区阳坊东街,东贯市西南411米"
197,2022-11-19 11:13:23,2022-11-19 11:13:23,116.146756/40.131342,35km/h,正南向(方向数：193),卫星定位,定时上报,"北京市昌平区阳坊东街,东贯市西南475米"
198,2022-11-19 11:13:33,2022-11-19 11:13:33,116.146356/40.130396,40km/h,正南向(方向数：183),卫星定位,定时上报,"北京市昌平区S218(温阳路),沙阳路10号院东北507米"
199,2022-11-19 11:13:43,2022-11-19 11:13:43,116.146356/40.129191,49km/h,正南向(方向数：178),卫星定位,定时上报,"北京市昌平区温阳路,阳坊镇南桥西北490米"
200,2022-11-19 11:13:53,2022-11-19 11:13:54,116.146373/40.127884,54km/h,正南向(方向数：181),卫星定位,定时上报,"北京市昌平区S218(温阳路),阳坊镇南桥西北365米"
201,2022-11-19 11:14:03,2022-11-19 11:14:04,116.146356/40.126604,52km/h,正南向(方向数：181),卫星定位,定时上报,"北京市昌平区S218(温阳路),阳坊镇南桥西北265米"
202,2022-11-19 11:14:13,2022-11-19 11:14:14,116.146373/40.125267,52km/h,正南向(方向数：177),卫星定位,定时上报,"北京市昌平区S218(温阳路),阳坊镇南桥西216米"
203,2022-11-19 11:14:22,2022-11-19 11:14:26,116.14624/40.124258,30km/h,西南向(方向数: 205),卫星定位,拐点上传,"北京市昌平区S218(温阳路),阳坊镇南桥西南253米"
204,2022-11-19 11:14:24,2022-11-19 11:14:27,116.146107/40.124151,28km/h,西南向(方向数: 238),卫星定位,拐点上传,"北京市昌平区S218(温阳路),阳坊镇南桥西南268米"
205,2022-11-19 11:14:26,2022-11-19 11:14:27,116.145911/40.124102,30km/h,正西向(方向数：264),卫星定位,拐点上传,"北京市昌平区白虎涧路,阳坊镇南桥西南285米"
206,2022-11-19 11:14:56,2022-11-19 11:14:57,116.145351/40.12412,13km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区白虎涧路,阳坊镇南桥西南328米"
207,2022-11-19 11:15:06,2022-11-19 11:15:07,116.144142/40.124138,46km/h,正西向(方向数：271),卫星定位,定时上报,"北京市昌平区白虎涧路,阳坊镇南桥西南424米"
208,2022-11-19 11:15:16,2022-11-19 11:15:17,116.1424/40.124142,55km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区白虎涧路,沙阳路10号院东南596米"
209,2022-11-19 11:15:26,2022-11-19 11:15:27,116.140578/40.124124,53km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区白虎涧路,阳坊镇南桥西南718米"
210,2022-11-19 11:15:36,2022-11-19 11:15:39,116.138871/40.124133,52km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区白虎涧路,沙阳路12号院东南415米"
211,2022-11-19 11:15:46,2022-11-19 11:15:49,116.13728/40.12416,40km/h,正西向(方向数：271),卫星定位,定时上报,"北京市昌平区白虎涧路,沙阳路12号院南398米"
212,2022-11-19 11:15:56,2022-11-19 11:15:57,116.135938/40.1242,44km/h,正西向(方向数：272),卫星定位,定时上报,"北京市昌平区白虎涧路,沙阳路12号院西南417米"
213,2022-11-19 11:16:06,2022-11-19 11:16:09,116.134347/40.124213,50km/h,正西向(方向数：271),卫星定位,定时上报,"北京市昌平区白虎涧路,京昌源汽车维修中心东307米"
214,2022-11-19 11:16:16,2022-11-19 11:16:25,116.132596/40.124231,54km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区白虎涧路,京昌源汽车维修中心东160米"
215,2022-11-19 11:16:26,2022-11-19 11:16:27,116.130773/40.124227,55km/h,正西向(方向数：269),卫星定位,定时上报,"北京市昌平区白虎涧路,京昌源汽车维修中心东南24米"
216,2022-11-19 11:16:36,2022-11-19 11:16:43,116.129004/40.1242,54km/h,正西向(方向数：270),卫星定位,定时上报,"北京市昌平区白虎涧路,京昌源汽车维修中心西南147米"
217,2022-11-19 11:16:46,2022-11-19 11:16:47,116.127511/40.1242,34km/h,正西向(方向数：266),卫星定位,定时上报,"北京市昌平区温北路,京昌源汽车维修中心西272米"
218,2022-11-19 11:16:49,2022-11-19 11:16:56,116.127298/40.124133,24km/h,西南向(方向数: 220),卫星定位,拐点上传,"北京市昌平区温北路,京昌源汽车维修中心西291米"
219,2022-11-19 11:16:51,2022-11-19 11:16:57,116.127227/40.124009,31km/h,正南向(方向数：196),卫星定位,拐点上传,"北京市昌平区白虎涧路,红门(北京)东南538米"
220,2022-11-19 11:17:01,2022-11-19 11:17:04,116.126836/40.122836,56km/h,正南向(方向数：197),卫星定位,定时上报,"北京市昌平区南下河路,京昌源汽车维修中心西南376米"
221,2022-11-19 11:17:11,2022-11-19 11:17:20,116.126302/40.121484,55km/h,正南向(方向数：195),卫星定位,定时上报,"北京市昌平区温北路,京昌源汽车维修中心西南501米"
222,2022-11-19 11:17:21,2022-11-19 11:17:22,116.125751/40.120071,54km/h,正南向(方向数：197),卫星定位,定时上报,"北京市昌平区温北路,北京新东方学校东北302米"
223,2022-11-19 11:17:31,2022-11-19 11:17:31,116.125244/40.118782,53km/h,正南向(方向数：198),卫星定位,定时上报,"北京市昌平区S324(温北路),斯凯兰德生态环保园西北550米"
224,2022-11-19 11:17:41,2022-11-19 11:17:47,116.124782/40.117382,53km/h,正南向(方向数：185),卫星定位,定时上报,"北京市昌平区S324(温北路),斯凯兰德生态环保园西北455米"
225,2022-11-19 11:17:51,2022-11-19 11:17:53,116.124871/40.116031,52km/h,正南向(方向数：168),卫星定位,定时上报,"北京市昌平区S324(温北路),斯凯兰德生态环保园西北364米"
226,2022-11-19 11:18:01,2022-11-19 11:18:01,116.125218/40.114698,54km/h,正南向(方向数：174),卫星定位,定时上报,"北京市昌平区温北路,斯凯兰德生态环保园西300米"
227,2022-11-19 11:18:11,2022-11-19 11:18:11,116.125271/40.113244,59km/h,正南向(方向数：182),卫星定位,定时上报,"北京市海淀区温北路,斯凯兰德生态环保园西南333米"
228,2022-11-19 11:18:21,2022-11-19 11:18:21,116.125244/40.111831,53km/h,正南向(方向数：179),卫星定位,定时上报,"北京市海淀区温北路,斯凯兰德生态环保园西南431米"
229,2022-11-19 11:18:31,2022-11-19 11:18:31,116.125244/40.110449,56km/h,正南向(方向数：179),卫星定位,定时上报,"北京市海淀区温北路,斯凯兰德生态环保园西南552米"
230,2022-11-19 11:18:41,2022-11-19 11:18:42,116.125244/40.109084,51km/h,正南向(方向数：181),卫星定位,定时上报,"北京市海淀区温北路,斯凯兰德生态环保园西南685米"
231,2022-11-19 11:18:51,2022-11-19 11:18:52,116.125271/40.107658,52km/h,正南向(方向数：171),卫星定位,定时上报,"北京市海淀区温北路,温馨家园西北557米"
232,2022-11-19 11:19:00,2022-11-19 11:19:01,116.125689/40.106653,36km/h,东南向(方向数：151),卫星定位,拐点上传,"北京市海淀区温北路,温馨家园西北499米"
233,2022-11-19 11:19:04,2022-11-19 11:19:04,116.125849/40.106382,18km/h,正南向(方向数：173),卫星定位,拐点上传,"北京市海淀区温北路,温馨家园西北447米"
234,2022-11-19 11:19:07,2022-11-19 11:19:08,116.125778/40.106276,15km/h,西南向(方向数: 234),卫星定位,拐点上传,"北京市海淀区温北路,温馨家园西北448米"
235,2022-11-19 11:19:10,2022-11-19 11:19:11,116.125556/40.106218,24km/h,正西向(方向数：257),卫星定位,拐点上传,"北京市海淀区温北路,温馨家园西北463米"
236,2022-11-19 11:19:20,2022-11-19 11:19:20,116.124302/40.106116,43km/h,正西向(方向数：265),卫星定位,定时上报,"北京市海淀区凤凰岭路,温馨家园西北560米"
237,2022-11-19 11:19:30,2022-11-19 11:19:31,116.122818/40.106,44km/h,正西向(方向数：265),卫星定位,定时上报,"北京市海淀区凤凰岭路,温馨家园西北679米"
238,2022-11-19 11:19:40,2022-11-19 11:19:41,116.121342/40.105862,45km/h,正西向(方向数：262),卫星定位,定时上报,"北京市海淀区凤凰岭路,宏棠上水东604米"
239,2022-11-19 11:19:50,2022-11-19 11:19:51,116.119787/40.105764,43km/h,正西向(方向数：262),卫星定位,定时上报,"北京市海淀区凤凰岭路,宏棠上水东南536米"
240,2022-11-19 11:20:00,2022-11-19 11:20:01,116.11832/40.105724,43km/h,正西向(方向数：271),卫星定位,定时上报,"北京市海淀区凤凰岭路,宏棠上水东南417米"
241,2022-11-19 11:20:10,2022-11-19 11:20:11,116.116782/40.105809,45km/h,正西向(方向数：272),卫星定位,定时上报,"北京市海淀区凤凰岭路,宏棠上水东南291米"
242,2022-11-19 11:20:20,2022-11-19 11:20:21,116.115218/40.10584,36km/h,正西向(方向数：267),卫星定位,定时上报,"北京市海淀区凤凰岭路,宏棠上水东南172米"
243,2022-11-19 11:20:30,2022-11-19 11:20:31,116.114018/40.105791,34km/h,正西向(方向数：261),卫星定位,定时上报,"北京市海淀区凤凰岭路,宏棠上水东南113米"
244,2022-11-19 11:20:40,2022-11-19 11:20:41,116.112889/40.105711,30km/h,正西向(方向数：267),卫星定位,定时上报,"北京市海淀区凤凰岭路,北京市农村商业银行(凤凰岭分理处)东北117米"
245,2022-11-19 11:20:50,2022-11-19 11:20:54,116.112107/40.105747,18km/h,正西向(方向数：275),卫星定位,定时上报,"北京市海淀区凤凰岭路,北京市农村商业银行(凤凰岭分理处)东北58米"
246,2022-11-19 11:21:00,2022-11-19 11:21:01,116.111378/40.105836,24km/h,正西向(方向数：261),卫星定位,定时上报,"北京市海淀区聂各庄路18号,北京市农村商业银行(凤凰岭分理处)西北45米"
247,2022-11-19 11:21:04,2022-11-19 11:21:05,116.111013/40.105751,26km/h,西南向(方向数: 239),卫星定位,拐点上传,"北京市海淀区聂各庄路18号,北京市农村商业银行(凤凰岭分理处)西北56米"
248,2022-11-19 11:21:08,2022-11-19 11:21:09,116.110676/40.10564,25km/h,正西向(方向数：259),卫星定位,拐点上传,"北京市海淀区凤凰岭路,北京市农村商业银行(凤凰岭分理处)西北77米"
249,2022-11-19 11:21:11,2022-11-19 11:21:13,116.110453/40.105667,23km/h,正西向(方向数：289),卫星定位,拐点上传,"北京市海淀区凤凰岭路,北京市农村商业银行(凤凰岭分理处)西北96米"
250,2022-11-19 11:21:21,2022-11-19 11:21:33,116.109618/40.106142,31km/h,西北向(方向数：308),卫星定位,定时上报,"北京市海淀区凤凰岭路,北京市农村商业银行(凤凰岭分理处)西北180米"
251,2022-11-19 11:21:31,2022-11-19 11:21:34,116.108738/40.106662,34km/h,西北向(方向数：305),卫星定位,定时上报,"北京市海淀区凤凰岭路,凤凰小区东南262米"
252,2022-11-19 11:21:38,2022-11-19 11:21:38,116.108027/40.106973,34km/h,正西向(方向数：284),卫星定位,拐点上传,"北京市海淀区凤凰岭路,凤凰小学东南158米"
253,2022-11-19 11:21:47,2022-11-19 11:21:47,116.10696/40.107009,37km/h,正西向(方向数：264),卫星定位,拐点上传,"北京市海淀区凤凰岭路,凤凰小区西南214米"
254,2022-11-19 11:21:57,2022-11-19 11:21:58,116.105698/40.106867,42km/h,正西向(方向数：263),卫星定位,定时上报,"北京市海淀区凤凰岭路19号,凤凰小学西南230米"
255,2022-11-19 11:22:07,2022-11-19 11:22:08,116.104364/40.106636,40km/h,正西向(方向数：254),卫星定位,定时上报,"北京市海淀区凤凰岭路,蓝梦庄园西南315米"
256,2022-11-19 11:22:17,2022-11-19 11:22:27,116.103031/40.106431,41km/h,正西向(方向数：255),卫星定位,定时上报,"北京市海淀区凤凰岭路,苏家坨经济适用房项目(暂定名)西北330米"
257,2022-11-19 11:22:27,2022-11-19 11:22:28,116.101724/40.106222,43km/h,正西向(方向数：259),卫星定位,定时上报,"北京市海淀区凤凰岭路,苏家坨经济适用房项目(暂定名)西北385米"
258,2022-11-19 11:22:37,2022-11-19 11:22:37,116.100409/40.10604,36km/h,正西向(方向数：258),卫星定位,定时上报,"北京市海淀区凤凰岭路,德福院西北190米"
259,2022-11-19 11:22:47,2022-11-19 11:22:47,116.099218/40.105836,36km/h,正西向(方向数：255),卫星定位,定时上报,"北京市海淀区凤凰岭路,苏家坨经济适用房项目(暂定名)西北544米"
260,2022-11-19 11:22:57,2022-11-19 11:22:57,116.098062/40.105573,35km/h,正西向(方向数：248),卫星定位,定时上报,"北京市海淀区凤凰岭路,北京实创西山科技培训中心-B座东365米"
261,2022-11-19 11:23:07,2022-11-19 11:23:07,116.097067/40.105164,33km/h,西南向(方向数: 236),卫星定位,定时上报,"北京市海淀区凤凰岭路,北京实创西山科技培训中心-B座东279米"
262,2022-11-19 11:23:17,2022-11-19 11:23:18,116.096364/40.104867,9km/h,西南向(方向数: 240),卫星定位,定时上报,"北京市海淀区凤凰岭路,北京实创西山科技培训中心-B座东南222米"
263,2022-11-19 11:23:47,2022-11-19 11:23:47,116.09624/40.104822,7km/h,西南向(方向数: 242),卫星定位,定时上报,"北京市海淀区凤凰岭南路,北京实创西山科技培训中心-B座东南213米"
264,2022-11-19 11:23:57,2022-11-19 11:23:58,116.095493/40.104551,37km/h,西南向(方向数: 242),卫星定位,定时上报,"北京市海淀区凤凰岭路17号,凤凰岭自然风景区东北434米"
265,2022-11-19 11:24:07,2022-11-19 11:24:07,116.094258/40.104058,44km/h,正西向(方向数：250),卫星定位,定时上报,"北京市海淀区凤凰岭路,北京实创西山科技培训中心-B座东南136米"
266,2022-11-19 11:24:17,2022-11-19 11:24:36,116.093004/40.103716,37km/h,正西向(方向数：249),卫星定位,定时上报,"北京市海淀区龙泉寺北路,北京实创西山科技培训中心-B座西南180米"
267,2022-11-19 11:24:20,2022-11-19 11:24:37,116.092747/40.103613,26km/h,西南向(方向数: 219),卫星定位,拐点上传,"北京市海淀区龙泉寺北路,凤凰岭自然风景区东南1228米"
268,2022-11-19 11:24:22,2022-11-19 11:24:37,116.092693/40.103498,26km/h,正南向(方向数：173),卫星定位,拐点上传,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1226米"
269,2022-11-19 11:24:25,2022-11-19 11:24:37,116.0928/40.103289,32km/h,东南向(方向数：151),卫星定位,拐点上传,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1240米"
270,2022-11-19 11:24:29,2022-11-19 11:24:37,116.092933/40.103062,17km/h,正南向(方向数：190),卫星定位,拐点上传,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1257米"
271,2022-11-19 11:25:19,2022-11-19 11:25:42,116.092747/40.10296,0km/h,正西向(方向数：252),卫星定位,从运动变静止状态补传最后一个有效定位点,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1244米"
272,2022-11-19 11:25:39,2022-11-19 11:25:42,116.091991/40.102782,21km/h,正西向(方向数：255),卫星定位,定时上报,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1188米"
273,2022-11-19 11:25:49,2022-11-19 11:25:50,116.09144/40.102653,16km/h,正西向(方向数：256),卫星定位,定时上报,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1147米"
274,2022-11-19 11:25:59,2022-11-19 11:26:05,116.091164/40.10256,7km/h,西南向(方向数: 215),卫星定位,定时上报,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1128米"
275,2022-11-19 11:26:23,2022-11-19 11:26:24,116.091236/40.102373,15km/h,西北向(方向数：93),卫星定位,拐点上传,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1141米"
276,2022-11-19 11:26:26,2022-11-19 11:26:27,116.091422/40.1024,18km/h,西北向(方向数：71),卫星定位,拐点上传,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1155米"
277,2022-11-19 11:27:23,2022-11-19 11:27:26,116.091698/40.102489,0km/h,西北向(方向数：68),卫星定位,从运动变静止状态补传最后一个有效定位点,"北京市海淀区凤凰岭路,凤凰岭自然风景区东南1174米"
